"id","manifest_id","upload_id","source_path","target_path","target_name","status","created_at","updated_at"
182,11,c814f660-e12f-4381-a44c-6c9c57143e4c,/Users/darrelldefreitas/Pictures/Roadtrip_2022/_Z602596-2022-09-10_.jpg,/test/pictures,_Z602596-2022-09-10_.jpg,Local,"2023-10-13 15:14:49.350548-04:00","2023-10-13 15:14:49.350548-04:00"
183,11,"9a9a408e-4e31-41be-b510-2b371f5c223f",/Users/darrelldefreitas/Pictures/Roadtrip_2022/_Z602667-2022-09-11_.jpg,/test/pictures,_Z602667-2022-09-11_.jpg,Local,"2023-10-13 15:14:49.350548-04:00","2023-10-13 15:14:49.350548-04:00"
184,11,"6a397b3d-a954-44c9-9909-347c5a8da4dd",/Users/darrelldefreitas/Pictures/Roadtrip_2022/_Z603114-2022-09-14_.jpg,/test/pictures,_Z603114-2022-09-14_.jpg,Local,"2023-10-13 15:14:49.350548-04:00","2023-10-13 15:14:49.350548-04:00"
185,11,"273f84a4-f4b5-4cec-806c-52fa0566103f",/Users/darrelldefreitas/Pictures/Roadtrip_2022/_Z603175-2022-09-14_.jpg,/test/pictures,_Z603175-2022-09-14_.jpg,Local,"2023-10-13 15:14:49.350548-04:00","2023-10-13 15:14:49.350548-04:00"
186,11,cc19d12f-e3a2-436b-b53d-ceecf2068a76,/Users/darrelldefreitas/Pictures/Roadtrip_2022/_Z603214-2022-09-14_.jpg,/test/pictures,_Z603214-2022-09-14_.jpg,Local,"2023-10-13 15:14:49.350548-04:00","2023-10-13 15:14:49.350548-04:00"
187,11,"2c9b1fcf-4e8c-48ff-b314-56c99de14a8f",/Users/darrelldefreitas/Pictures/Roadtrip_2022/_Z603219-2022-09-14_.jpg,/test/pictures,_Z603219-2022-09-14_.jpg,Local,"2023-10-13 15:14:49.350548-04:00","2023-10-13 15:14:49.350548-04:00"
188,11,"13e24aaa-57cc-4031-aa07-036efd5d16e7",/Users/darrelldefreitas/Pictures/Roadtrip_2022/_Z603349-2022-09-15_.jpg,/test/pictures,_Z603349-2022-09-15_.jpg,Local,"2023-10-13 15:14:49.350548-04:00","2023-10-13 15:14:49.350548-04:00"
189,11,"7c1047f3-fc64-4435-b395-f6acbe1d458e",/Users/darrelldefreitas/Pictures/Roadtrip_2022/_Z603356-2022-09-15_.jpg,/test/pictures,_Z603356-2022-09-15_.jpg,Local,"2023-10-13 15:14:49.350548-04:00","2023-10-13 15:14:49.350548-04:00"
190,11,"907ec2d8-6120-4e21-8b2d-eb6af85e827e",/Users/darrelldefreitas/Pictures/Roadtrip_2022/_Z603373-2022-09-15_.jpg,/test/pictures,_Z603373-2022-09-15_.jpg,Local,"2023-10-13 15:14:49.350548-04:00","2023-10-13 15:14:49.350548-04:00"
191,11,"1bed1edc-c1a4-4135-890a-06701dd9edc3",/Users/darrelldefreitas/Pictures/Roadtrip_2022/_Z603403-2022-09-15_.jpg,/test/pictures,_Z603403-2022-09-15_.jpg,Local,"2023-10-13 15:14:49.350548-04:00","2023-10-13 15:14:49.350548-04:00"
192,11,"35cafd7d-b52d-4b0c-99fb-639496d53a8c",/Users/darrelldefreitas/Pictures/Roadtrip_2022/_Z603411-2022-09-15_.jpg,/test/pictures,_Z603411-2022-09-15_.jpg,Local,"2023-10-13 15:14:49.350548-04:00","2023-10-13 15:14:49.350548-04:00"
193,11,e0271674-201e-47f6-8123-a37c5ad86749,/Users/darrelldefreitas/Pictures/Roadtrip_2022/_Z603581-2022-09-16_.jpg,/test/pictures,_Z603581-2022-09-16_.jpg,Local,"2023-10-13 15:14:49.350548-04:00","2023-10-13 15:14:49.350548-04:00"
194,11,"82ad4a54-f7b1-40f5-a686-09b7f3b946f9",/Users/darrelldefreitas/Pictures/Roadtrip_2022/_Z603632-2022-09-17_.jpg,/test/pictures,_Z603632-2022-09-17_.jpg,Local,"2023-10-13 15:14:49.350548-04:00","2023-10-13 15:14:49.350548-04:00"
195,11,"8bff211f-3c07-4d9a-be14-b8f68f1c2b57",/Users/darrelldefreitas/Pictures/Roadtrip_2022/_Z603667-2022-09-17_.jpg,/test/pictures,_Z603667-2022-09-17_.jpg,Local,"2023-10-13 15:14:49.350548-04:00","2023-10-13 15:14:49.350548-04:00"
196,11,"5a75aacd-947e-4718-8620-4ffc5a11321a",/Users/darrelldefreitas/Pictures/Roadtrip_2022/_Z603675-2022-09-17_.jpg,/test/pictures,_Z603675-2022-09-17_.jpg,Local,"2023-10-13 15:14:49.350548-04:00","2023-10-13 15:14:49.350548-04:00"
